ID_REF,CDR017,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR025,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR021,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR029,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR022,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR018,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR026,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR030,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR031,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR023,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR027,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR019,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR020,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR028,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR032,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR024,Detection Pval,BEAD_STDERR,Avg_NBEADS
ILMN_1223135,81.55231,0.4611529,5.189187,32,71.30792,0.6390978,4.489765,31,74.73971,0.6365915,6.632084,30,70.7678,0.5325814,5.409546,28,73.50282,0.5350877,5.089992,42,64.48749,0.839599,3.591411,35,54.38165,0.9473684,3.333442,33,70.46869,0.6203008,4.652994,32,70.91793,0.764411,4.118896,37,78.06338,0.6967419,6.667413,35,65.93902,0.7117795,2.73296,46,69.4554,0.8120301,4.273211,43,63.45917,0.79198,3.669227,40,69.55171,0.5839599,4.33416,32,79.84783,0.3709273,6.779884,33,65.96696,0.7518797,4.236656,36
ILMN_2669813,86.47997,0.3784461,4.558378,45,86.43884,0.2769423,4.518895,35,113.3486,0.1203008,5.540835,47,85.77659,0.2218045,5.101017,42,81.52897,0.3496241,4.105132,41,76.9882,0.4661654,2.937176,36,84.77695,0.1378446,5.161345,30,91.9872,0.1992481,7.235422,30,92.80344,0.2481203,5.554751,31,102.4384,0.264411,5.356802,29,91.11183,0.1378446,6.718491,37,88.83339,0.3370927,8.712972,27,79.13153,0.3082707,4.982864,47,77.90808,0.3734336,4.952723,55,83.33464,0.3132832,4.54826,38,86.27316,0.2330827,5.82922,43
ILMN_2675853,156.8617,0.01754386,11.43559,34,127.9988,0.03634085,9.250038,35,175.5992,0.006265664,12.13305,44,122.1292,0.04010025,6.213326,35,126.9575,0.03884712,7.289916,40,137.1488,0.02506266,9.720365,31,94.84261,0.07142857,6.107697,38,135.5839,0.02005013,8.841435,35,165.4724,0.005012531,12.94481,37,160.8061,0.02130326,9.237968,37,112.5894,0.03634085,7.401084,37,121.121,0.08521304,13.3788,25,101.1729,0.0764411,6.646543,40,120.6184,0.03383459,14.05203,25,122.5665,0.03132832,7.31631,45,153.5913,0.005012531,13.43341,35
ILMN_1223285,1230.672,0,28.20694,41,970.5252,0,30.29482,53,1818.431,0,48.64216,47,1363.929,0,34.95742,53,1207.794,0,34.14866,48,1094.803,0,34.73425,54,690.7722,0,24.28645,47,1278.962,0,38.31238,50,1378.092,0,36.02262,39,1959.93,0,70.61691,37,769.2253,0,29.09913,26,1146.219,0,33.20127,51,730.0576,0,18.11959,49,776.2584,0,26.87994,56,1167.753,0,32.506,51,1361.425,0,46.61398,46
ILMN_2665805,139.3533,0.03759398,8.786499,37,137.8748,0.02255639,9.508348,43,128.4866,0.06265664,6.600938,43,120.8257,0.04135338,6.610654,48,122.3529,0.05137845,7.063091,36,145.2747,0.01629073,10.46963,36,90.49313,0.1002506,4.890402,35,158.1526,0.00877193,10.65214,52,129.2702,0.04887218,10.02771,43,161.4561,0.02130326,9.818066,28,106.9079,0.05137845,8.235324,37,137.3794,0.04260652,8.68958,38,117.2876,0.02130326,8.350725,42,124.2423,0.02380952,8.728701,39,136.271,0.01002506,8.909263,37,114.1378,0.05263158,6.789319,40
ILMN_1237665,77.65762,0.5701754,5.744013,36,76.45268,0.4548872,5.119912,41,80.07265,0.4987469,4.675493,48,75.21898,0.4197995,4.547369,45,56.28574,0.9849624,2.596796,29,72.36554,0.5877193,5.410446,31,61.56338,0.7042606,3.2331,37,68.39415,0.6954888,5.121239,32,86.58587,0.3496241,5.494128,44,85.8315,0.5,4.658163,32,68.87138,0.5877193,4.807543,32,79.34412,0.5350877,5.913185,39,66.21364,0.6867168,3.495009,32,72.0551,0.5037594,5.079209,41,67.01483,0.7481203,5.240973,32,74.02739,0.4837093,5.260885,40
ILMN_1258633,3829.021,0,112.48,36,3416.451,0,74.82524,43,4040.548,0,117.7572,37,3462.93,0,100.2867,45,3791.37,0,76.61056,55,3271.133,0,105.9236,40,2478.994,0,69.22523,36,3518.51,0,89.32227,49,4280.292,0,110.2483,45,4695.758,0,134.5016,38,2993.222,0,74.48449,33,3440.166,0,103.4541,44,2648.652,0,73.23827,48,3174.28,0,83.82439,47,3145.967,0,112.9827,36,3162.276,0,97.01929,36
ILMN_2655295,1990.39,0,56.57475,42,1783.497,0,65.3905,36,2179.851,0,60.84359,33,1410.754,0,56.61086,40,1741.795,0,46.30571,43,1555.097,0,58.93192,42,995.691,0,32.6475,34,1579.987,0,86.92538,31,1667.588,0,126.1261,37,2492.833,0,97.30039,33,1106.924,0,46.97121,36,1912.118,0,69.89495,32,1429.87,0,58.57191,39,1118.765,0,44.36951,37,1238.737,0,44.08279,45,1680.151,0,60.59365,51
ILMN_2702243,163.2501,0.01253133,10.15306,32,123.6905,0.04636591,9.286644,35,165.0067,0.01253133,8.58728,33,120.3734,0.04135338,9.528122,29,140.1594,0.02005013,7.198354,54,140.4931,0.02255639,8.598149,36,110.9931,0.02506266,9.259122,30,148.0807,0.01253133,9.80658,47,129.3587,0.04887218,11.87431,31,226.9665,0,23.39675,27,116.902,0.02756892,9.450342,26,145.8999,0.02380952,8.613832,34,124.0873,0.01503759,8.576229,32,128.4967,0.01378446,9.243502,33,132.0922,0.01378446,7.003292,49,120.4237,0.03258145,9.015154,29
ILMN_2630293,460.3595,0,19.71174,41,387.9975,0,19.47093,38,422.6493,0,18.31408,37,406.195,0,18.89306,29,363.2582,0,16.47282,37,369.2311,0,11.4186,57,263.5297,0,15.29543,30,427.666,0,23.69224,30,455.3475,0,42.15139,27,480.2473,0,17.88616,36,376.6061,0,9.081169,43,430.0679,0,16.49591,33,339.8796,0,14.69323,38,369.0379,0,19.27462,27,394.4882,0,17.54238,45,332.4637,0,27.7535,34
